0,1,2,3,4,5
audSpec,Rfilt,sma[2],quartile1,pad,pad
audSpec,Rfilt,sma[2],quartile2,pad,pad
audSpec,Rfilt,sma[2],quartile3,pad,pad
audSpec,Rfilt,sma[2],iqr1-2,pad,pad
audSpec,Rfilt,sma[2],iqr2-3,pad,pad
audSpec,Rfilt,sma[2],iqr1-3,pad,pad
audSpec,Rfilt,sma[2],percentile1.0,pad,pad
audSpec,Rfilt,sma[2],percentile99.0,pad,pad
audSpec,Rfilt,sma[2],pctlrange0-1,pad,pad
audSpec,Rfilt,sma[2],stddev,pad,pad
audSpec,Rfilt,sma[2],skewness,pad,pad
audSpec,Rfilt,sma[2],kurtosis,pad,pad
audSpec,Rfilt,sma[2],meanSegLen,pad,pad
audSpec,Rfilt,sma[2],maxSegLen,pad,pad
audSpec,Rfilt,sma[2],minSegLen,pad,pad
audSpec,Rfilt,sma[2],segLenStddev,pad,pad
audSpec,Rfilt,sma[2],upleveltime25,pad,pad
audSpec,Rfilt,sma[2],upleveltime50,pad,pad
audSpec,Rfilt,sma[2],upleveltime75,pad,pad
audSpec,Rfilt,sma[2],upleveltime90,pad,pad
audSpec,Rfilt,sma[2],risetime,pad,pad
audSpec,Rfilt,sma[2],leftctime,pad,pad
audSpec,Rfilt,sma[2],lpgain,pad,pad
audSpec,Rfilt,sma[2],lpc0,pad,pad
audSpec,Rfilt,sma[2],lpc1,pad,pad
audSpec,Rfilt,sma[2],lpc2,pad,pad
audSpec,Rfilt,sma[2],lpc3,pad,pad
audSpec,Rfilt,sma[2],lpc4,pad,pad
audSpec,Rfilt,sma[3],range,pad,pad
audSpec,Rfilt,sma[3],maxPos,pad,pad
audSpec,Rfilt,sma[3],minPos,pad,pad
audSpec,Rfilt,sma[3],quartile1,pad,pad
audSpec,Rfilt,sma[3],quartile2,pad,pad
audSpec,Rfilt,sma[3],quartile3,pad,pad
audSpec,Rfilt,sma[3],iqr1-2,pad,pad
audSpec,Rfilt,sma[3],iqr2-3,pad,pad
audSpec,Rfilt,sma[3],iqr1-3,pad,pad
audSpec,Rfilt,sma[3],percentile1.0,pad,pad
audSpec,Rfilt,sma[3],percentile99.0,pad,pad
audSpec,Rfilt,sma[3],pctlrange0-1,pad,pad
audSpec,Rfilt,sma[3],stddev,pad,pad
audSpec,Rfilt,sma[3],skewness,pad,pad
audSpec,Rfilt,sma[3],kurtosis,pad,pad
audSpec,Rfilt,sma[3],meanSegLen,pad,pad
audSpec,Rfilt,sma[3],maxSegLen,pad,pad
audSpec,Rfilt,sma[3],minSegLen,pad,pad
audSpec,Rfilt,sma[3],segLenStddev,pad,pad
audSpec,Rfilt,sma[3],upleveltime25,pad,pad
audSpec,Rfilt,sma[3],upleveltime50,pad,pad
audSpec,Rfilt,sma[3],upleveltime75,pad,pad
audSpec,Rfilt,sma[3],upleveltime90,pad,pad
audSpec,Rfilt,sma[3],risetime,pad,pad
audSpec,Rfilt,sma[3],leftctime,pad,pad
audSpec,Rfilt,sma[3],lpgain,pad,pad
audSpec,Rfilt,sma[3],lpc0,pad,pad
audSpec,Rfilt,sma[3],lpc1,pad,pad
audSpec,Rfilt,sma[3],lpc2,pad,pad
audSpec,Rfilt,sma[3],lpc3,pad,pad
audSpec,Rfilt,sma[3],lpc4,pad,pad
audSpec,Rfilt,sma[4],range,pad,pad
audSpec,Rfilt,sma[4],maxPos,pad,pad
audSpec,Rfilt,sma[4],minPos,pad,pad
audSpec,Rfilt,sma[4],quartile1,pad,pad
audSpec,Rfilt,sma[4],quartile2,pad,pad
audSpec,Rfilt,sma[4],quartile3,pad,pad
audSpec,Rfilt,sma[4],iqr1-2,pad,pad
audSpec,Rfilt,sma[4],iqr2-3,pad,pad
audSpec,Rfilt,sma[4],iqr1-3,pad,pad
audSpec,Rfilt,sma[4],percentile1.0,pad,pad
audSpec,Rfilt,sma[4],percentile99.0,pad,pad
audSpec,Rfilt,sma[4],pctlrange0-1,pad,pad
audSpec,Rfilt,sma[4],stddev,pad,pad
audSpec,Rfilt,sma[4],skewness,pad,pad
audSpec,Rfilt,sma[4],kurtosis,pad,pad
audSpec,Rfilt,sma[4],meanSegLen,pad,pad
audSpec,Rfilt,sma[4],maxSegLen,pad,pad
audSpec,Rfilt,sma[4],minSegLen,pad,pad
audSpec,Rfilt,sma[4],segLenStddev,pad,pad
audSpec,Rfilt,sma[4],upleveltime25,pad,pad
audSpec,Rfilt,sma[4],upleveltime50,pad,pad
audSpec,Rfilt,sma[4],upleveltime75,pad,pad
audSpec,Rfilt,sma[4],upleveltime90,pad,pad
audSpec,Rfilt,sma[4],risetime,pad,pad
audSpec,Rfilt,sma[4],leftctime,pad,pad
audSpec,Rfilt,sma[4],lpgain,pad,pad
audSpec,Rfilt,sma[4],lpc0,pad,pad
audSpec,Rfilt,sma[4],lpc1,pad,pad
audSpec,Rfilt,sma[4],lpc2,pad,pad
audSpec,Rfilt,sma[4],lpc3,pad,pad
audSpec,Rfilt,sma[4],lpc4,pad,pad
audSpec,Rfilt,sma[5],range,pad,pad
audSpec,Rfilt,sma[5],maxPos,pad,pad
audSpec,Rfilt,sma[5],minPos,pad,pad
audSpec,Rfilt,sma[5],quartile1,pad,pad
audSpec,Rfilt,sma[5],quartile2,pad,pad
audSpec,Rfilt,sma[5],quartile3,pad,pad
audSpec,Rfilt,sma[5],iqr1-2,pad,pad
audSpec,Rfilt,sma[5],iqr2-3,pad,pad
audSpec,Rfilt,sma[5],iqr1-3,pad,pad
audSpec,Rfilt,sma[5],percentile1.0,pad,pad
audSpec,Rfilt,sma[5],percentile99.0,pad,pad
audSpec,Rfilt,sma[5],pctlrange0-1,pad,pad
audSpec,Rfilt,sma[5],stddev,pad,pad
audSpec,Rfilt,sma[5],skewness,pad,pad
audSpec,Rfilt,sma[5],kurtosis,pad,pad
audSpec,Rfilt,sma[5],meanSegLen,pad,pad
audSpec,Rfilt,sma[5],maxSegLen,pad,pad
audSpec,Rfilt,sma[5],minSegLen,pad,pad
audSpec,Rfilt,sma[5],segLenStddev,pad,pad
audSpec,Rfilt,sma[5],upleveltime25,pad,pad
audSpec,Rfilt,sma[5],upleveltime50,pad,pad
audSpec,Rfilt,sma[5],upleveltime75,pad,pad
audSpec,Rfilt,sma[5],upleveltime90,pad,pad
audSpec,Rfilt,sma[5],risetime,pad,pad
audSpec,Rfilt,sma[5],leftctime,pad,pad
audSpec,Rfilt,sma[5],lpgain,pad,pad
audSpec,Rfilt,sma[5],lpc0,pad,pad
audSpec,Rfilt,sma[5],lpc1,pad,pad
audSpec,Rfilt,sma[5],lpc2,pad,pad
audSpec,Rfilt,sma[5],lpc3,pad,pad
audSpec,Rfilt,sma[5],lpc4,pad,pad
audSpec,Rfilt,sma[6],range,pad,pad
audSpec,Rfilt,sma[6],maxPos,pad,pad
audSpec,Rfilt,sma[6],minPos,pad,pad
audSpec,Rfilt,sma[6],quartile1,pad,pad
audSpec,Rfilt,sma[6],quartile2,pad,pad
audSpec,Rfilt,sma[6],quartile3,pad,pad
audSpec,Rfilt,sma[6],iqr1-2,pad,pad
audSpec,Rfilt,sma[6],iqr2-3,pad,pad
audSpec,Rfilt,sma[6],iqr1-3,pad,pad
audSpec,Rfilt,sma[6],percentile1.0,pad,pad
audSpec,Rfilt,sma[6],percentile99.0,pad,pad
audSpec,Rfilt,sma[6],pctlrange0-1,pad,pad
audSpec,Rfilt,sma[6],stddev,pad,pad
audSpec,Rfilt,sma[6],skewness,pad,pad
audSpec,Rfilt,sma[6],kurtosis,pad,pad
audSpec,Rfilt,sma[6],meanSegLen,pad,pad
audSpec,Rfilt,sma[6],maxSegLen,pad,pad
audSpec,Rfilt,sma[6],minSegLen,pad,pad
audSpec,Rfilt,sma[6],segLenStddev,pad,pad
audSpec,Rfilt,sma[6],upleveltime25,pad,pad
audSpec,Rfilt,sma[6],upleveltime50,pad,pad
audSpec,Rfilt,sma[6],upleveltime75,pad,pad
audSpec,Rfilt,sma[6],upleveltime90,pad,pad
audSpec,Rfilt,sma[6],risetime,pad,pad
audSpec,Rfilt,sma[6],leftctime,pad,pad
audSpec,Rfilt,sma[6],lpgain,pad,pad
audSpec,Rfilt,sma[6],lpc0,pad,pad
audSpec,Rfilt,sma[6],lpc1,pad,pad
audSpec,Rfilt,sma[6],lpc2,pad,pad
audSpec,Rfilt,sma[6],lpc3,pad,pad
audSpec,Rfilt,sma[6],lpc4,pad,pad
audSpec,Rfilt,sma[7],range,pad,pad
audSpec,Rfilt,sma[7],maxPos,pad,pad
audSpec,Rfilt,sma[7],minPos,pad,pad
audSpec,Rfilt,sma[7],quartile1,pad,pad
audSpec,Rfilt,sma[7],quartile2,pad,pad
audSpec,Rfilt,sma[7],quartile3,pad,pad
audSpec,Rfilt,sma[7],iqr1-2,pad,pad
audSpec,Rfilt,sma[7],iqr2-3,pad,pad
audSpec,Rfilt,sma[7],iqr1-3,pad,pad
audSpec,Rfilt,sma[7],percentile1.0,pad,pad
audSpec,Rfilt,sma[7],percentile99.0,pad,pad
audSpec,Rfilt,sma[7],pctlrange0-1,pad,pad
audSpec,Rfilt,sma[7],stddev,pad,pad
audSpec,Rfilt,sma[7],skewness,pad,pad
audSpec,Rfilt,sma[7],kurtosis,pad,pad
audSpec,Rfilt,sma[7],meanSegLen,pad,pad
audSpec,Rfilt,sma[7],maxSegLen,pad,pad
audSpec,Rfilt,sma[7],minSegLen,pad,pad
audSpec,Rfilt,sma[7],segLenStddev,pad,pad
audSpec,Rfilt,sma[7],upleveltime25,pad,pad
audSpec,Rfilt,sma[7],upleveltime50,pad,pad
audSpec,Rfilt,sma[7],upleveltime75,pad,pad
audSpec,Rfilt,sma[7],upleveltime90,pad,pad
audSpec,Rfilt,sma[7],risetime,pad,pad
audSpec,Rfilt,sma[7],leftctime,pad,pad
audSpec,Rfilt,sma[7],lpgain,pad,pad
audSpec,Rfilt,sma[7],lpc0,pad,pad
audSpec,Rfilt,sma[7],lpc1,pad,pad
audSpec,Rfilt,sma[7],lpc2,pad,pad
audSpec,Rfilt,sma[7],lpc3,pad,pad
audSpec,Rfilt,sma[7],lpc4,pad,pad
audSpec,Rfilt,sma[8],range,pad,pad
audSpec,Rfilt,sma[8],maxPos,pad,pad
audSpec,Rfilt,sma[8],minPos,pad,pad
audSpec,Rfilt,sma[8],quartile1,pad,pad
audSpec,Rfilt,sma[8],quartile2,pad,pad
audSpec,Rfilt,sma[8],quartile3,pad,pad
audSpec,Rfilt,sma[8],iqr1-2,pad,pad
audSpec,Rfilt,sma[8],iqr2-3,pad,pad
audSpec,Rfilt,sma[8],iqr1-3,pad,pad
audSpec,Rfilt,sma[8],percentile1.0,pad,pad
audSpec,Rfilt,sma[8],percentile99.0,pad,pad
audSpec,Rfilt,sma[8],pctlrange0-1,pad,pad
audSpec,Rfilt,sma[8],stddev,pad,pad
audSpec,Rfilt,sma[8],skewness,pad,pad
audSpec,Rfilt,sma[8],kurtosis,pad,pad
audSpec,Rfilt,sma[8],meanSegLen,pad,pad
audSpec,Rfilt,sma[8],maxSegLen,pad,pad
audSpec,Rfilt,sma[8],minSegLen,pad,pad
audSpec,Rfilt,sma[8],segLenStddev,pad,pad
audSpec,Rfilt,sma[8],upleveltime25,pad,pad
audSpec,Rfilt,sma[8],upleveltime50,pad,pad
audSpec,Rfilt,sma[8],upleveltime75,pad,pad
audSpec,Rfilt,sma[8],upleveltime90,pad,pad
