Field1,Field2,Field3,Field4,Field5,Field6
audSpec,Rfilt,sma[1],kurtosis,,
audSpec,Rfilt,sma[1],meanSegLen,,
audSpec,Rfilt,sma[1],maxSegLen,,
audSpec,Rfilt,sma[1],minSegLen,,
audSpec,Rfilt,sma[1],segLenStddev,,
audSpec,Rfilt,sma[1],upleveltime25,,
audSpec,Rfilt,sma[1],upleveltime50,,
audSpec,Rfilt,sma[1],upleveltime75,,
audSpec,Rfilt,sma[1],upleveltime90,,
audSpec,Rfilt,sma[1],risetime,,
audSpec,Rfilt,sma[1],leftctime,,
audSpec,Rfilt,sma[1],lpgain,,
audSpec,Rfilt,sma[1],lpc0,,
audSpec,Rfilt,sma[1],lpc1,,
audSpec,Rfilt,sma[1],lpc2,,
audSpec,Rfilt,sma[1],lpc3,,
audSpec,Rfilt,sma[1],lpc4,,
audSpec,Rfilt,sma[2],range,,
audSpec,Rfilt,sma[2],maxPos,,
audSpec,Rfilt,sma[2],minPos,,
audSpec,Rfilt,sma[2],quartile1,,
audSpec,Rfilt,sma[2],quartile2,,
audSpec,Rfilt,sma[2],quartile3,,
audSpec,Rfilt,sma[2],iqr1-2,,
audSpec,Rfilt,sma[2],iqr2-3,,
audSpec,Rfilt,sma[2],iqr1-3,,
audSpec,Rfilt,sma[2],percentile1.0,,
audSpec,Rfilt,sma[2],percentile99.0,,
audSpec,Rfilt,sma[2],pctlrange0-1,,
audSpec,Rfilt,sma[2],stddev,,
audSpec,Rfilt,sma[2],skewness,,
audSpec,Rfilt,sma[2],kurtosis,,
audSpec,Rfilt,sma[2],meanSegLen,,
audSpec,Rfilt,sma[2],maxSegLen,,
audSpec,Rfilt,sma[2],minSegLen,,
audSpec,Rfilt,sma[2],segLenStddev,,
audSpec,Rfilt,sma[2],upleveltime25,,
audSpec,Rfilt,sma[2],upleveltime50,,
audSpec,Rfilt,sma[2],upleveltime75,,
audSpec,Rfilt,sma[2],upleveltime90,,
audSpec,Rfilt,sma[2],risetime,,
audSpec,Rfilt,sma[2],leftctime,,
audSpec,Rfilt,sma[2],lpgain,,
audSpec,Rfilt,sma[2],lpc0,,
audSpec,Rfilt,sma[2],lpc1,,
audSpec,Rfilt,sma[2],lpc2,,
audSpec,Rfilt,sma[2],lpc3,,
audSpec,Rfilt,sma[2],lpc4,,
audSpec,Rfilt,sma[3],range,,
audSpec,Rfilt,sma[3],maxPos,,
audSpec,Rfilt,sma[3],minPos,,
audSpec,Rfilt,sma[3],quartile1,,
audSpec,Rfilt,sma[3],quartile2,,
audSpec,Rfilt,sma[3],quartile3,,
audSpec,Rfilt,sma[3],iqr1-2,,
audSpec,Rfilt,sma[3],iqr2-3,,
audSpec,Rfilt,sma[3],iqr1-3,,
audSpec,Rfilt,sma[3],percentile1.0,,
audSpec,Rfilt,sma[3],percentile99.0,,
audSpec,Rfilt,sma[3],pctlrange0-1,,
audSpec,Rfilt,sma[3],stddev,,
audSpec,Rfilt,sma[3],skewness,,
audSpec,Rfilt,sma[3],kurtosis,,
audSpec,Rfilt,sma[3],meanSegLen,,
audSpec,Rfilt,sma[3],maxSegLen,,
audSpec,Rfilt,sma[3],minSegLen,,
audSpec,Rfilt,sma[3],segLenStddev,,
audSpec,Rfilt,sma[3],upleveltime25,,
audSpec,Rfilt,sma[3],upleveltime50,,
audSpec,Rfilt,sma[3],upleveltime75,,
audSpec,Rfilt,sma[3],upleveltime90,,
audSpec,Rfilt,sma[3],risetime,,
audSpec,Rfilt,sma[3],leftctime,,
audSpec,Rfilt,sma[3],lpgain,,
audSpec,Rfilt,sma[3],lpc0,,
audSpec,Rfilt,sma[3],lpc1,,
audSpec,Rfilt,sma[3],lpc2,,
audSpec,Rfilt,sma[3],lpc3,,
audSpec,Rfilt,sma[3],lpc4,,
audSpec,Rfilt,sma[4],range,,
audSpec,Rfilt,sma[4],maxPos,,
audSpec,Rfilt,sma[4],minPos,,
audSpec,Rfilt,sma[4],quartile1,,
audSpec,Rfilt,sma[4],quartile2,,
audSpec,Rfilt,sma[4],quartile3,,
audSpec,Rfilt,sma[4],iqr1-2,,
audSpec,Rfilt,sma[4],iqr2-3,,
audSpec,Rfilt,sma[4],iqr1-3,,
audSpec,Rfilt,sma[4],percentile1.0,,
audSpec,Rfilt,sma[4],percentile99.0,,
audSpec,Rfilt,sma[4],pctlrange0-1,,
audSpec,Rfilt,sma[4],stddev,,
audSpec,Rfilt,sma[4],skewness,,
audSpec,Rfilt,sma[4],kurtosis,,
audSpec,Rfilt,sma[4],meanSegLen,,
audSpec,Rfilt,sma[4],maxSegLen,,
audSpec,Rfilt,sma[4],minSegLen,,
audSpec,Rfilt,sma[4],segLenStddev,,
audSpec,Rfilt,sma[4],upleveltime25,,
audSpec,Rfilt,sma[4],upleveltime50,,
audSpec,Rfilt,sma[4],upleveltime75,,
audSpec,Rfilt,sma[4],upleveltime90,,
audSpec,Rfilt,sma[4],risetime,,
audSpec,Rfilt,sma[4],leftctime,,
audSpec,Rfilt,sma[4],lpgain,,
audSpec,Rfilt,sma[4],lpc0,,
audSpec,Rfilt,sma[4],lpc1,,
audSpec,Rfilt,sma[4],lpc2,,
audSpec,Rfilt,sma[4],lpc3,,
audSpec,Rfilt,sma[4],lpc4,,
audSpec,Rfilt,sma[5],range,,
audSpec,Rfilt,sma[5],maxPos,,
audSpec,Rfilt,sma[5],minPos,,
audSpec,Rfilt,sma[5],quartile1,,
audSpec,Rfilt,sma[5],quartile2,,
audSpec,Rfilt,sma[5],quartile3,,
audSpec,Rfilt,sma[5],iqr1-2,,
audSpec,Rfilt,sma[5],iqr2-3,,
audSpec,Rfilt,sma[5],iqr1-3,,
audSpec,Rfilt,sma[5],percentile1.0,,
audSpec,Rfilt,sma[5],percentile99.0,,
audSpec,Rfilt,sma[5],pctlrange0-1,,
audSpec,Rfilt,sma[5],stddev,,
audSpec,Rfilt,sma[5],skewness,,
audSpec,Rfilt,sma[5],kurtosis,,
audSpec,Rfilt,sma[5],meanSegLen,,
audSpec,Rfilt,sma[5],maxSegLen,,
audSpec,Rfilt,sma[5],minSegLen,,
audSpec,Rfilt,sma[5],segLenStddev,,
audSpec,Rfilt,sma[5],upleveltime25,,
audSpec,Rfilt,sma[5],upleveltime50,,
audSpec,Rfilt,sma[5],upleveltime75,,
audSpec,Rfilt,sma[5],upleveltime90,,
audSpec,Rfilt,sma[5],risetime,,
audSpec,Rfilt,sma[5],leftctime,,
audSpec,Rfilt,sma[5],lpgain,,
audSpec,Rfilt,sma[5],lpc0,,
audSpec,Rfilt,sma[5],lpc1,,
audSpec,Rfilt,sma[5],lpc2,,
audSpec,Rfilt,sma[5],lpc3,,
audSpec,Rfilt,sma[5],lpc4,,
audSpec,Rfilt,sma[6],range,,
audSpec,Rfilt,sma[6],maxPos,,
audSpec,Rfilt,sma[6],minPos,,
audSpec,Rfilt,sma[6],quartile1,,
audSpec,Rfilt,sma[6],quartile2,,
audSpec,Rfilt,sma[6],quartile3,,
audSpec,Rfilt,sma[6],iqr1-2,,
audSpec,Rfilt,sma[6],iqr2-3,,
audSpec,Rfilt,sma[6],iqr1-3,,
audSpec,Rfilt,sma[6],percentile1.0,,
audSpec,Rfilt,sma[6],percentile99.0,,
audSpec,Rfilt,sma[6],pctlrange0-1,,
audSpec,Rfilt,sma[6],stddev,,
audSpec,Rfilt,sma[6],skewness,,
audSpec,Rfilt,sma[6],kurtosis,,
audSpec,Rfilt,sma[6],meanSegLen,,
audSpec,Rfilt,sma[6],maxSegLen,,
audSpec,Rfilt,sma[6],minSegLen,,
audSpec,Rfilt,sma[6],segLenStddev,,
audSpec,Rfilt,sma[6],upleveltime25,,
audSpec,Rfilt,sma[6],upleveltime50,,
audSpec,Rfilt,sma[6],upleveltime75,,
audSpec,Rfilt,sma[6],upleveltime90,,
audSpec,Rfilt,sma[6],risetime,,
audSpec,Rfilt,sma[6],leftctime,,
audSpec,Rfilt,sma[6],lpgain,,
audSpec,Rfilt,sma[6],lpc0,,
audSpec,Rfilt,sma[6],lpc1,,
audSpec,Rfilt,sma[6],lpc2,,
audSpec,Rfilt,sma[6],lpc3,,
audSpec,Rfilt,sma[6],lpc4,,
audSpec,Rfilt,sma[7],range,,
audSpec,Rfilt,sma[7],maxPos,,
audSpec,Rfilt,sma[7],minPos,,
audSpec,Rfilt,sma[7],quartile1,,
audSpec,Rfilt,sma[7],quartile2,,
audSpec,Rfilt,sma[7],quartile3,,
audSpec,Rfilt,sma[7],iqr1-2,,
audSpec,Rfilt,sma[7],iqr2-3,,
audSpec,Rfilt,sma[7],iqr1-3,,
audSpec,Rfilt,sma[7],percentile1.0,,
audSpec,Rfilt,sma[7],percentile99.0,,
audSpec,Rfilt,sma[7],pctlrange0-1,,
audSpec,Rfilt,sma[7],stddev,,
audSpec,Rfilt,sma[7],skewness,,
audSpec,Rfilt,sma[7],kurtosis,,
audSpec,Rfilt,sma[7],meanSegLen,,
audSpec,Rfilt,sma[7],maxSegLen,,
audSpec,Rfilt,sma[7],minSegLen,,
audSpec,Rfilt,sma[7],segLenStddev,,
audSpec,Rfilt,sma[7],upleveltime25,,
audSpec,Rfilt,sma[7],upleveltime50,,
audSpec,Rfilt,sma[7],upleveltime75,,
audSpec,Rfilt,sma[7],upleveltime90,,
audSpec,Rfilt,sma[7],risetime,,
audSpec,Rfilt,sma[7],leftctime,,
audSpec,Rfilt,sma[7],lpgain,,
audSpec,Rfilt,sma[7],lpc0,,
audSpec,Rfilt,sma[7],lpc1,,
audSpec,Rfilt,sma[7],lpc2,,
audSpec,Rfilt,sma[7],lpc3,,
audSpec,Rfilt,sma[7],lpc4,,
audSpec,Rfilt,sma[8],range,,
audSpec,Rfilt,sma[8],maxPos,,
audSpec,Rfilt,sma[8],minPos,,
audSpec,Rfilt,sma[8],quartile1,,
audSpec,Rfilt,sma[8],quartile2,,
audSpec,Rfilt,sma[8],quartile3,,
audSpec,Rfilt,sma[8],iqr1-2,,
audSpec,Rfilt,sma[8],iqr2-3,,
audSpec,Rfilt,sma[8],iqr1-3,,
audSpec,Rfilt,sma[8],percentile1.0,,
audSpec,Rfilt,sma[8],percentile99.0,,
audSpec,Rfilt,sma[8],pctlrange0-1,,
audSpec,Rfilt,sma[8],stddev,,
audSpec,Rfilt,sma[8],skewness,,
audSpec,Rfilt,sma[8],kurtosis,,
audSpec,Rfilt,sma[8],meanSegLen,,
audSpec,Rfilt,sma[8],maxSegLen,,
audSpec,Rfilt,sma[8],minSegLen,,
audSpec,Rfilt,sma[8],segLenStddev,,
audSpec,Rfilt,sma[8],upleveltime25,,
audSpec,Rfilt,sma[8],upleveltime50,,
audSpec,Rfilt,sma[8],upleveltime75,,
audSpec,Rfilt,sma[8],upleveltime90,,
audSpec,Rfilt,sma[8],risetime,,
audSpec,Rfilt,sma[8],leftctime,,
audSpec,Rfilt,sma[8],lpgain,,
audSpec,Rfilt,sma[8],lpc0,,
audSpec,Rfilt,sma[8],lpc1,,
audSpec,Rfilt,sma[8],lpc2,,
audSpec,Rfilt,sma[8],lpc3,,
audSpec,Rfilt,sma[8],lpc4,,
audSpec,Rfilt,sma[9],range,,
audSpec,Rfilt,sma[9],maxPos,,
audSpec,Rfilt,sma[9],minPos,,
audSpec,Rfilt,sma[9],quartile1,,
audSpec,Rfilt,sma[9],quartile2,,
audSpec,Rfilt,sma[9],quartile3,,
audSpec,Rfilt,sma[9],iqr1-2,,
audSpec,Rfilt,sma[9],iqr2-3,,
audSpec,Rfilt,sma[9],iqr1-3,,
audSpec,Rfilt,sma[9],percentile1.0,,
audSpec,Rfilt,sma[9],percentile99.0,,
audSpec,Rfilt,sma[9],pctlrange0-1,,
audSpec,Rfilt,sma[9],stddev,,
audSpec,Rfilt,sma[9],skewness,,
audSpec,Rfilt,sma[9],kurtosis,,
audSpec,Rfilt,sma[9],meanSegLen,,
audSpec,Rfilt,sma[9],maxSegLen,,
audSpec,Rfilt,sma[9],minSegLen,,
audSpec,Rfilt,sma[9],segLenStddev,,
audSpec,Rfilt,sma[9],upleveltime25,,
audSpec,Rfilt,sma[9],upleveltime50,,
audSpec,Rfilt,sma[9],upleveltime75,,
audSpec,Rfilt,sma[9],upleveltime90,,
audSpec,Rfilt,sma[9],risetime,,
audSpec,Rfilt,sma[9],leftctime,,
audSpec,Rfilt,sma[9],lpgain,,
audSpec,Rfilt,sma[9],lpc0,,
audSpec,Rfilt,sma[9],lpc1,,
audSpec,Rfilt,sma[9],lpc2,,
audSpec,Rfilt,sma[9],lpc3,,
audSpec,Rfilt,sma[9],lpc4,,
audSpec,Rfilt,sma[10],range,,
audSpec,Rfilt,sma[10],maxPos,,
audSpec,Rfilt,sma[10],minPos,,
audSpec,Rfilt,sma[10],quartile1,,
audSpec,Rfilt,sma[10],quartile2,,
audSpec,Rfilt,sma[10],quartile3,,
audSpec,Rfilt,sma[10],iqr1-2,,
audSpec,Rfilt,sma[10],iqr2-3,,
audSpec,Rfilt,sma[10],iqr1-3,,
audSpec,Rfilt,sma[10],percentile1.0,,
audSpec,Rfilt,sma[10],percentile99.0,,
audSpec,Rfilt,sma[10],pctlrange0-1,,
audSpec,Rfilt,sma[10],stddev,,
audSpec,Rfilt,sma[10],skewness,,
audSpec,Rfilt,sma[10],kurtosis,,
audSpec,Rfilt,sma[10],meanSegLen,,
audSpec,Rfilt,sma[10],maxSegLen,,
audSpec,Rfilt,sma[10],minSegLen,,
audSpec,Rfilt,sma[10],segLenStddev,,
audSpec,Rfilt,sma[10],upleveltime25,,
audSpec,Rfilt,sma[10],upleveltime50,,
audSpec,Rfilt,sma[10],upleveltime75,,
audSpec,Rfilt,sma[10],upleveltime90,,
audSpec,Rfilt,sma[10],risetime,,
audSpec,Rfilt,sma[10],leftctime,,
audSpec,Rfilt,sma[10],lpgain,,
audSpec,Rfilt,sma[10],lpc0,,
audSpec,Rfilt,sma[10],lpc1,,
audSpec,Rfilt,sma[10],lpc2,,
audSpec,Rfilt,sma[10],lpc3,,
audSpec,Rfilt,sma[10],lpc4,,
audSpec,Rfilt,sma[11],range,,
audSpec,Rfilt,sma[11],maxPos,,
audSpec,Rfilt,sma[11],minPos,,
audSpec,Rfilt,sma[11],quartile1,,
audSpec,Rfilt,sma[11],quartile2,,
audSpec,Rfilt,sma[11],quartile3,,
