inputID,measures,speakerDependentPrecision_N,speakerDependentPrecision_I,speakerDependentRecall_N,speakerDependentRecall_I,speakerDependentF1_N,speakerDependentF1_I,speakerDependentAccuracy,oldSplitPrecision_N,oldSplitPrecision_I,oldSplitRecall_N,oldSplitRecall_I,oldSplitF1_N,oldSplitF1_I,oldSplitAccuracy,newSplitPrecision_N,newSplitPrecision_I,newSplitRecall_N,newSplitRecall_I,newSplitF1_N,newSplitF1_I,newSplitAccuracy
PCs_percentChunks,"hnr, mfcc, plp",0.73086408,0.70913922,0.69372276,0.74433167,0.71140266,0.72598422,0.7190269985481788,0.68979673,0.53583586,0.76245574,0.46543879,0.7089558,0.47105557,0.6498521408720304,0.65360809,0.60982722,0.70841542,0.55474211,0.677612,0.5784142,0.6405742362397954
PCs_percentChunks,mfcc,0.72286828,0.69958041,0.68097486,0.73641429,0.69962314,0.71607122,0.7087058959335684,0.700241,0.56928195,0.73849388,0.54133414,0.70768445,0.52783623,0.6674206150686105,0.67956733,0.58399768,0.60649775,0.65394444,0.63822664,0.61334879,0.6371100676670942
PCs_percentChunks,"mfcc, plp",0.73122336,0.70691962,0.68788615,0.74569264,0.70741759,0.72457097,0.7167931768839269,0.70964178,0.571225,0.75976255,0.53628753,0.71617136,0.51636557,0.6644718761578047,0.67192713,0.58505856,0.6397269,0.62162034,0.65307522,0.59942482,0.6362422034937575
PCs_percentChunks,plp,0.7129704,0.70108801,0.69339331,0.71990229,0.70285149,0.71019539,0.7066444872969337,0.69150119,0.543201,0.74897476,0.49358239,0.70830396,0.50204659,0.657126228979216,0.62897889,0.58528252,0.70970656,0.49049917,0.66587546,0.530857,0.6245536668571625
PCs_percentChunks,f0,0.6713314,0.65860017,0.64556488,0.68376363,0.65813469,0.67089072,0.6646602131409806,0.68789987,0.50025267,0.65191649,0.55511811,0.63082528,0.46076355,0.5728247404188133,0.5969118,0.55717053,0.68288631,0.45541456,0.62174768,0.47914486,0.5644465309468059
PCs_feats_percentChunks,"f0, hnr",0.67764711,0.65400899,0.63005483,0.69784233,0.65178772,0.67430046,0.6639616813896047,0.6871805,0.50334102,0.66829202,0.55146417,0.65738448,0.49418417,0.6071214871647085,0.62295249,0.57682876,0.68435906,0.50894743,0.64006368,0.52402083,0.5910217640386076
PCs_feats_percentChunks,"f0, mfcc",0.70541004,0.71515212,0.72092198,0.69716391,0.712187,0.70498555,0.7090492420486514,0.71048015,0.53138283,0.69451098,0.58184018,0.67979339,0.50676953,0.6320465405647545,0.64073224,0.58664237,0.69043303,0.53746376,0.66294669,0.55954253,0.6243732728768678
PCs_feats_percentChunks,"f0, plp",0.71861792,0.69896336,0.67996108,0.73157372,0.69645112,0.71293901,0.7057815341947571,0.70495792,0.56665587,0.76339715,0.52673896,0.72059194,0.52668648,0.6721568456387779,0.65948394,0.61283446,0.71741501,0.538739,0.68628147,0.57115609,0.6536618477387022
PCs_feats_percentChunks,"f0, hnr, mfcc",0.69986425,0.72053355,0.73125669,0.68582312,0.71428899,0.70169238,0.7085333349119362,0.68853202,0.54443851,0.74921173,0.49286974,0.6998667,0.48360531,0.6399809665023269,0.6573817,0.60916711,0.69068668,0.56830198,0.67174359,0.58453954,0.6441821097457718
PCs_feats_percentChunks,"f0, hnr, plp",0.70388064,0.71141853,0.71644812,0.69855741,0.71004234,0.70485957,0.7075025565966113,0.69934538,0.54170819,0.73079778,0.52595807,0.69748929,0.50361994,0.647578788108731,0.66996698,0.61725282,0.70623646,0.57063272,0.68670242,0.59145785,0.6585117192302046
