,Name,Speaker,Irony,parseltonguef0,reaperf0
406,PPep12_p105_I,P,i,nan,89.452332
407,PPep12_p105_I,P,i,nan,89.452332
408,PPep12_p105_I,P,i,nan,86.470589
409,PPep12_p105_I,P,i,nan,86.470589
410,PPep12_p105_I,P,i,nan,76.034485
411,PPep12_p105_I,P,i,nan,76.034485
412,PPep12_p105_I,P,i,351.6237938106095,76.034485
413,PPep12_p105_I,P,i,352.5177855706867,78.469749
414,PPep12_p105_I,P,i,353.604669266451,78.469749
415,PPep12_p105_I,P,i,354.5563686536522,NaN
416,PPep12_p105_I,P,i,355.3356150211142,NaN
417,PPep12_p105_I,P,i,355.90661115416475,NaN
418,PPep12_p105_I,P,i,356.17482680821735,NaN
419,PPep12_p105_I,P,i,355.8584514616108,NaN
420,PPep12_p105_I,P,i,NaN,NaN
421,PPep12_p105_I,P,i,NaN,NaN
422,PPep12_p105_I,P,i,NaN,NaN
423,PPep12_p105_I,P,i,NaN,NaN
424,PPep12_p105_I,P,i,NaN,NaN
425,PPep12_p105_I,P,i,NaN,NaN
426,PPep12_p105_I,P,i,NaN,NaN
427,PPep12_p105_I,P,i,NaN,NaN
428,PPep12_p105_I,P,i,NaN,NaN
429,PPep12_p105_I,P,i,NaN,NaN
430,PPep12_p105_I,P,i,NaN,NaN
431,PPep12_p105_I,P,i,NaN,NaN
432,PPep12_p112_I,P,i,nan,NaN
433,PPep12_p112_I,P,i,232.40665305376618,NaN
434,PPep12_p112_I,P,i,232.12081039712646,NaN
435,PPep12_p112_I,P,i,231.80484848861926,NaN
436,PPep12_p112_I,P,i,231.47292626880775,NaN
437,PPep12_p112_I,P,i,231.14570331559565,NaN
438,PPep12_p112_I,P,i,230.8489741450478,NaN
439,PPep12_p112_I,P,i,230.59626943712198,NaN
440,PPep12_p112_I,P,i,230.39575422134564,NaN
441,PPep12_p112_I,P,i,230.24756558988162,NaN
442,PPep12_p112_I,P,i,230.15296511830476,NaN
443,PPep12_p112_I,P,i,230.1082175135786,NaN
444,PPep12_p112_I,P,i,230.10793729963987,NaN
445,PPep12_p112_I,P,i,230.14548224005554,NaN
446,PPep12_p112_I,P,i,230.21534485291662,232.10527
447,PPep12_p112_I,P,i,230.315467910417,232.10527
448,PPep12_p112_I,P,i,230.44506973137308,232.10527
449,PPep12_p112_I,P,i,230.60702015578235,230.890045
450,PPep12_p112_I,P,i,230.8013719358607,229.6875
451,PPep12_p112_I,P,i,231.029662883038,229.6875
452,PPep12_p112_I,P,i,231.28465056483003,229.6875
453,PPep12_p112_I,P,i,231.56106036016425,229.6875
454,PPep12_p112_I,P,i,231.84763688809485,229.6875
455,PPep12_p112_I,P,i,232.14388651880205,229.6875
456,PPep12_p112_I,P,i,232.45278605199607,229.6875
457,PPep12_p112_I,P,i,232.79115732528106,229.6875
458,PPep12_p112_I,P,i,233.15205321674236,230.890045
459,PPep12_p112_I,P,i,233.48152413369903,230.890045
460,PPep12_p112_I,P,i,233.67693132862226,232.10527
461,PPep12_p112_I,P,i,233.68817728063576,232.10527
462,PPep12_p112_I,P,i,233.54134958870202,232.10527
463,PPep12_p112_I,P,i,233.2925926484618,232.10527
464,PPep12_p112_I,P,i,233.00749635832338,233.333328
465,PPep12_p112_I,P,i,232.74117850035944,234.574463
466,PPep12_p112_I,P,i,232.53994109953467,234.574463
467,PPep12_p112_I,P,i,232.46110043144125,234.574463
468,PPep12_p112_I,P,i,232.73487016996444,234.574463
469,PPep12_p112_I,P,i,294.14492860665604,233.333328
470,PPep12_p112_I,P,i,291.4320625831416,232.10527
471,PPep12_p112_I,P,i,290.49985354940264,232.10527
472,PPep12_p112_I,P,i,290.55646761918325,232.10527
473,PPep12_p112_I,P,i,290.9928738894666,NaN
474,PPep12_p112_I,P,i,291.54523162316565,NaN
475,PPep12_p112_I,P,i,292.1147356830638,NaN
476,PPep12_p112_I,P,i,292.64401534268717,NaN
477,PPep12_p112_I,P,i,293.10427490532993,NaN
478,PPep12_p112_I,P,i,293.440492541557,NaN
479,PPep12_p112_I,P,i,293.5914176554975,NaN
480,PPep12_p112_I,P,i,293.4792907468877,NaN
481,PPep12_p112_I,P,i,293.0230273551206,NaN
482,PPep12_p112_I,P,i,292.2269340985779,NaN
483,PPep12_p112_I,P,i,291.3652423639861,NaN
484,PPep12_p112_I,P,i,291.0223378046031,286.363647
485,PPep12_p112_I,P,i,291.42932133702686,294.0
486,PPep12_p112_I,P,i,292.0228799439581,294.0
487,PPep12_p112_I,P,i,292.4539497933426,294.0
488,PPep12_p112_I,P,i,292.7253606057105,297.972961
489,PPep12_p112_I,P,i,292.92450378046993,295.973145
